type	uri	avsender
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=3bbe1c58-8e3e-4b2e-a1b8-fa1e04a1ce2b	Næringsfora og Næringsforening i Møre og Romsdal (uten merknader)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=0824a3c7-1c1b-46b0-996f-5051c4c9b00d	Næringsforeningen i Stavanger-regionen
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=9ea1dd07-6f46-4a27-82b1-6c810f5a8710	Næringsforeningen i Tromsøregionen/ Næringsarena Nord
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=28f45a82-ce58-4bad-8586-4db506a7ded3	Næringsforeningen Ålesundregionen (uten merknader)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=ef998288-f91f-4aa8-9372-d3e9ab3ce6ce	Nærøysund kommune
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/ola-flaten-uit.pdf?uid=Ola_Fl%C3%A5ten_UiT	Ola Flåten UiT (PDF, 318KB)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=f859720e-ff70-43d1-ba67-ab9b4067dada	ORKide - Nordmøre Regionråd
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=1abb9b0d-6d75-4a4c-b42f-85b9a04c2803	Osen kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=ec746f71-2fab-4c9d-8b61-841a95732492	Pelagisk Forening
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=d76ddf34-7220-4170-9712-af17c8b3b46b	Person som ikke har oppgitt navn (597360)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=421c5c25-3b6b-4a50-9c6b-62eea2aa2c5d	Petter Bjerksund, Jarle Møen og Guttorm Schjelderup, professorer ved NHH
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=0bc9fc6a-af99-490e-9297-a32e366a44b8	Profilgruppa
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=87b59077-cdc4-4ee6-ba5b-113d00910b32	Regelrådet
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/regionradet-i-orkdalregionen.pdf?uid=Regionr%C3%A5det_i_Orkdalregionen	Regionrådet i Orkdalregionen (PDF, 950KB)
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/regionradet-nordhordland.pdf?uid=Regionr%C3%A5det_Nordhordland	Regionrådet Nordhordland (PDF, 576KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=c8bdb613-6f24-45f1-8f4a-e9c113ed5ab4	Rødøy kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=437f3967-c791-42f3-877a-480b32395e6d	Salangen kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=b2d71d99-57f7-4f6f-8625-bcc49eebb06d	Salten Regionråd
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=db1b3ba5-71b4-4703-9ef5-aba6e08e593c	Sandnes kommune
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/senja-kommune.pdf?uid=Senja_kommune	Senja kommune (PDF, 160KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=75dc3a1d-1e88-49f3-bc06-3b5157ab352a	SinkabergHansen AS
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=f01aea58-cb44-4061-8a38-5980cf85ecb9	Sjømat Norge
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=d46ef5d3-8305-45f2-a8ca-3fa5a2a52f35	Sjømat Norge
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=46757c76-e08a-411f-bb2c-c74a8bd7b6c9	Sjømat Norge
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=5ff78d51-bdf8-484b-bbfb-70d7ee2f8e3f	Sjømatbedriftene
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=cb487a43-de3c-4ba1-ad6b-ff79cb8f8793	Sjømatklyngen Senja
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=43bde18c-4dc2-4c5f-aa39-63e799e72263	Skattebetalerforeningen
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=af390ba4-e221-4bb1-8f45-92271cb5a737	Skattedirektoratet
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=66310894-489b-4cf8-a0c8-e53d70999d3c	SMB Norge
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/smola-kommune.pdf?uid=Sm%C3%B8la_kommune	Smøla kommune (PDF, 928KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=5562bde2-f76c-46ee-a6bf-096a3a099c60	Sogn og Fjordane Næringsråd
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=5562bde2-f76c-46ee-a6bf-096a3a099c60	Sosialistisk Fellesliste av SV og Raudt, Kvinnherad
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=fd22d07d-e271-42a7-b6d1-c158144c960a	Statistisk sentralbyrå
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=9d773f4b-6490-4f42-b930-a2f29e5f4b7d	Stavanger kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=fe3cabcd-3863-40bf-a03b-2f2a5602a47e	Steigen Kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=0ecd1077-9612-4fe1-b8c3-34b72e4df8f4	Steinar Holden, Økonomisk institutt, UiO
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=557ad588-a527-4b3c-ba05-26eac717f3f8	Stiftinga Norsk Villaksforvaltning
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=8ec62423-a48a-4cc4-8e12-c6775edd18ba	Strand Kommune
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/sunnfjord-kommune-.pdf?uid=Sunnfjord_kommune_	Sunnfjord kommune (PDF, 534KB)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=6913fede-fbbc-46eb-b703-70caaf6719aa	Sveio kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=67a59f7c-c20b-4193-be7d-ed056be665e1	Sørfold Kommune
