filnavn,sti,aar,avsender,uid,kilde_type,kilde_fil,kilde_uri,antall_tegn,antall_ord
2019_gildeskal-kommmune-pdf-225kb_no-uid_dc1e05d7f0.txt,høringer/foer-2022/2019_gildeskal-kommmune-pdf-225kb_no-uid_dc1e05d7f0.txt,2019,"Gildeskål kommmune (PDF, 225KB)",no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000020_sha256_010d495507c0a5a0d8860aa5c6f9216b689bd2807d04e457e4cc0c724a5ca785.pdf,https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/gildeskal-kommmune.pdf?uid=Gildesk%C3%A5l_kommmune,3754,536
2019_giske-kommune-pdf-514kb_no-uid_8e1ba6a4aa.txt,høringer/foer-2022/2019_giske-kommune-pdf-514kb_no-uid_8e1ba6a4aa.txt,2019,"Giske kommune (PDF, 514KB)",no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000021_sha256_6aefd71df1929a3e582f77dd89d2ab289dfffdce11a842228da752cc683e93af.pdf,https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/giske-kommune.pdf?uid=Giske_kommune,7100,970
2019_grieg-seafood-asa_930b0ebc-f8a4-4ff1-859a-9ed1cebfcb69.txt,høringer/foer-2022/2019_grieg-seafood-asa_930b0ebc-f8a4-4ff1-859a-9ed1cebfcb69.txt,2019,Grieg Seafood ASA,930b0ebc-f8a4-4ff1-859a-9ed1cebfcb69,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000025_sha256_480ee23aec5ba45e2f4451eb5a6cfae30c8982ea19cba2668d8892d35c2a6e75.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=930b0ebc-f8a4-4ff1-859a-9ed1cebfcb69,5445,862
2019_gulen-kommune_9005e38e-4fd7-4714-a3a3-56e2f136a54e.txt,høringer/foer-2022/2019_gulen-kommune_9005e38e-4fd7-4714-a3a3-56e2f136a54e.txt,2019,Gulen kommune,9005e38e-4fd7-4714-a3a3-56e2f136a54e,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000013_sha256_ae70f8cb1db66368b77243e093bf8a0b88487e18775c8c5cd1ea08bfcb834e55.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=9005e38e-4fd7-4714-a3a3-56e2f136a54e,1119,170
2019_hadsel-kommune_77cc3b6e-647f-4547-a901-d485b3efe89c.txt,høringer/foer-2022/2019_hadsel-kommune_77cc3b6e-647f-4547-a901-d485b3efe89c.txt,2019,Hadsel kommune,77cc3b6e-647f-4547-a901-d485b3efe89c,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000024_sha256_a908e9e7f7b582baad361d2337e1fad5e7e3771866604397a3bbb368766a6a83.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=77cc3b6e-647f-4547-a901-d485b3efe89c,4119,615
2019_hafs-regionrad_6e3e1e85-6a5d-4168-92fc-bb0e1f0d33ab.txt,høringer/foer-2022/2019_hafs-regionrad_6e3e1e85-6a5d-4168-92fc-bb0e1f0d33ab.txt,2019,HAFS Regionråd,6e3e1e85-6a5d-4168-92fc-bb0e1f0d33ab,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000012_sha256_5fb2b92add141e618b5db3d6026ccebc35febae51e70f9acb173e53e9648c891.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=6e3e1e85-6a5d-4168-92fc-bb0e1f0d33ab,1922,265
2019_hammerfest-kommune_5c3f936f-761d-4875-8b49-2af9db50fe8d.txt,høringer/foer-2022/2019_hammerfest-kommune_5c3f936f-761d-4875-8b49-2af9db50fe8d.txt,2019,Hammerfest kommune,5c3f936f-761d-4875-8b49-2af9db50fe8d,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000023_sha256_9fe3e5739025ae8095764e78142526282760d94a000937f1243f01e689a0a7ae.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=5c3f936f-761d-4875-8b49-2af9db50fe8d,2417,348
2019_harstad-kommune_no-uid_442601f721.txt,høringer/foer-2022/2019_harstad-kommune_no-uid_442601f721.txt,2019,Harstad kommune,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000017_sha256_6fc10bff8e4f59cdd5cc45cd3196af21370a2cc65303736745d62b1c9aaab347.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=7ab62ba8-456d-45dd-8866-1502da68d2be,5017,691
2019_heim-kommune-pdf-1016kb_no-uid_af06a8c8a6.txt,høringer/foer-2022/2019_heim-kommune-pdf-1016kb_no-uid_af06a8c8a6.txt,2019,"Heim kommune (PDF, 1016KB)",no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000014_sha256_e974aeb36d2cf333af3fb25e9a35e9aa54043e9546f9d60822029ceed087046b.pdf,https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/heim-kommune.pdf?uid=Heim_kommune,12571,1872
2019_hitra-kommune_84e85fa4-89bf-4eb3-93e4-16eb7a1d3192.txt,høringer/foer-2022/2019_hitra-kommune_84e85fa4-89bf-4eb3-93e4-16eb7a1d3192.txt,2019,Hitra kommune,84e85fa4-89bf-4eb3-93e4-16eb7a1d3192,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000027_sha256_51aad2435e830ed7f4dbd580daee080bfcf872170d76eecd8a13b807648ad1eb.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=84e85fa4-89bf-4eb3-93e4-16eb7a1d3192,470,67
